cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
10.22              ,          4.56,              2849.313,                              0.72 ,                          0.234,                              100,                          20,   2051.50536         ,                   2171.4824
 6.859999999999999 ,          5.02,              2290.472,                              0.72 ,                          0.188,                              100,                          20,   1649.13984         ,                   1768.8511
 8.84              ,          4.7 ,              2610.782,                              0.5  ,                          0.149,                              100,                          20,   1305.391           ,                   1425.4391
 8.51              ,          5.37,              2676.798,                              0.72 ,                          0.22 ,                              100,                          20,   1927.29456         ,                   2047.3846
 9.44              ,          5.15,              2814.003,                              0.72 ,                          0.231,                              100,                          20,   2026.08216         ,                   2145.8826
 7.82              ,          4.88,              2449.73 ,                              0.72 ,                          0.201,                              100,                          20,   1763.8056          ,                   1871.5842
 7.91              ,          5.19,              2527.161,                              0.72 ,                          0.208,                              100,                          20,   1819.55592         ,                   1939.6968
 7.550000000000001 ,          5.01,              2423.229,                              0.72 ,                          0.199,                              100,                          20,   1744.7248799999998 ,                   1853.3573
 7.4               ,          5.05,              2402.274,                              0.72 ,                          0.197,                              100,                          20,   1729.63728         ,                   1849.5178
 6.83              ,          5.19,              2319.541,                              0.72 ,                          0.191,                              100,                          20,   1670.06952         ,                   1790.0714
10.85              ,          4.69,              2999.107,                              0.72 ,                          0.247,                              100,                          20,   2159.35704         ,                   2279.3655
11.03              ,          4.92,              3078.544,                              0.72 ,                          0.253,                              100,                          20,   2216.55168         ,                   2336.508
 9.26              ,          5.15,              2781.642,                              0.72 ,                          0.229,                              100,                          20,   2002.78224         ,                   2127.0361
 7.82              ,          4.92,              2459.673,                              0.72 ,                          0.202,                              100,                          20,   1770.9645599999997 ,                   1896.7686
 6.68              ,          5.28,              2309.31 ,                              0.72 ,                          0.19 ,                              100,                          20,   1662.7032          ,                   1782.6423
 7.970000000000001 ,          5.21,              2545.157,                              0.72 ,                          0.209,                              100,                          20,   1832.51304         ,                   1952.4014
 7.939999999999999 ,          4.96,              2491.329,                              0.72 ,                          0.205,                              100,                          20,   1793.75688         ,                   1913.7806
 7.459999999999999 ,          5.03,              2412.417,                              0.72 ,                          0.198,                              100,                          20,   1736.94024         ,                   1856.9955
 7.609999999999999 ,          5.1 ,              2455.217,                              0.72 ,                          0.202,                              100,                          20,   1767.75624         ,                   1887.9948
 6.859999999999999 ,          5.01,              2293.173,                              0.72 ,                          0.188,                              100,                          20,   1651.0845599999998 ,                   1771.363
10.97              ,          4.88,              3062.376,                              0.72 ,                          0.252,                              100,                          20,   2204.91072         ,                   2324.943
 8.719999999999999 ,          4.85,              2622.099,                              0.72 ,                          0.216,                              100,                          20,   1887.91128         ,                   1994.8551
 8.719999999999999 ,          5.19,              2688.115,                              0.72 ,                          0.221,                              100,                          20,   1935.4428          ,                   2055.3862
 8.0               ,          4.93,              2499.005,                              0.72 ,                          0.205,                              100,                          20,   1799.2836          ,                   1919.266
 7.43              ,          5.37,              2474.337,                              0.72 ,                          0.203,                              100,                          20,   1781.52264         ,                   1901.4788
 9.02              ,          5.18,              2745.239,                              0.72 ,                          0.226,                              100,                          20,   1976.57208         ,                   2096.5784
 6.17              ,          4.61,              2084.285,                              0.72 ,                          0.171,                              100,                          20,   1500.6852          ,                   1731.044
 7.1               ,          5.19,              2376.473,                              0.72 ,                          0.195,                              100,                          20,   1711.06056         ,                   1831.1416
